FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Ambala,9.6,ABC Manufacturing,6019.38
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Yamunanagar,9.6,ABC Manufacturing,425.25
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Karnal,9.6,ABC Manufacturing,14782.635
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Panipat,9.6,ABC Manufacturing,4031.91
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Sonipat,9.6,ABC Manufacturing,8692.11
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Jind,9.6,ABC Manufacturing,9215.1
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Fatehabad,9.6,ABC Manufacturing,14653.845
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Hisar,9.6,ABC Manufacturing,7497.495
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Bhiwani,9.6,ABC Manufacturing,7843.5
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Rohtak,9.6,ABC Manufacturing,4540.725
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Mahendragarh,9.6,ABC Manufacturing,2564.865
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Rewari,9.6,ABC Manufacturing,2849.715
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Mewat,9.6,ABC Manufacturing,2038.5
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Faridabad,9.6,ABC Manufacturing,2382.75
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Palwal,9.6,ABC Manufacturing,8377.155
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Kangra,203.6,ABC Manufacturing,3075.3
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Kullu,203.6,ABC Manufacturing,89.1
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Mandi,203.6,ABC Manufacturing,1561.005
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Hamirpur,203.6,ABC Manufacturing,133.65
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Bilaspur,203.6,ABC Manufacturing,2568.915
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Solan,203.6,ABC Manufacturing,1583.55
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Shimla,203.6,ABC Manufacturing,251.1
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Chamba,146.7,ABC Manufacturing,189
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Kangra,146.7,ABC Manufacturing,700.785
